Date,Close Sentiment,Sample Time1,Price Close,Sample Time2,VIX Close,headers
10/10/2019,33,10/10/2019,7950.779785,10/10/2019,17.56999969,
11/10/2019,28,11/10/2019,8057.040039,11/10/2019,15.57999992,
13/10/2019,29,,,,,
14/10/2019,28,14/10/2019,8048.649902,14/10/2019,14.56999969,
15/10/2019,23,15/10/2019,8148.709961,15/10/2019,13.53999996,
16/10/2019,28,16/10/2019,8124.180176,16/10/2019,13.68000031,
17/10/2019,28,17/10/2019,8156.850098,17/10/2019,13.78999996,
18/10/2019,30,18/10/2019,8089.540039,18/10/2019,14.25,
20/10/2019,30,,,,,
21/10/2019,26,21/10/2019,8162.990234,21/10/2019,14,
22/10/2019,35,22/10/2019,8104.299805,22/10/2019,14.46000004,
23/10/2019,32,23/10/2019,8119.790039,23/10/2019,14.01000023,
24/10/2019,26,24/10/2019,8185.799805,24/10/2019,13.71000004,
25/10/2019,19,25/10/2019,8243.120117,25/10/2019,12.64999962,
27/10/2019,20,,,,,
28/10/2019,21,28/10/2019,8325.990234,28/10/2019,13.10999966,
29/10/2019,27,29/10/2019,8276.849609,29/10/2019,13.19999981,
30/10/2019,25,30/10/2019,8303.980469,30/10/2019,12.32999992,
31/10/2019,22,31/10/2019,8292.360352,31/10/2019,13.22000027,
01/11/2019,21,01/11/2019,8386.400391,01/11/2019,12.30000019,
03/11/2019,22,,,,,
04/11/2019,24,04/11/2019,8433.200195,04/11/2019,12.82999992,
05/11/2019,22,05/11/2019,8434.679688,05/11/2019,13.10000038,
06/11/2019,24,06/11/2019,8410.629883,06/11/2019,12.61999989,
07/11/2019,23,07/11/2019,8434.519531,07/11/2019,12.72999954,
08/11/2019,22,08/11/2019,8475.30957,08/11/2019,12.06999969,
10/11/2019,22,,,,,
11/11/2019,23,11/11/2019,8464.280273,11/11/2019,12.68999958,
12/11/2019,23,12/11/2019,8486.089844,12/11/2019,12.68000031,
13/11/2019,20,13/11/2019,8482.099609,13/11/2019,13,
14/11/2019,22,14/11/2019,8479.019531,14/11/2019,13.05000019,
15/11/2019,20,15/11/2019,8540.830078,15/11/2019,12.05000019,
17/11/2019,19,,,,,
18/11/2019,20,18/11/2019,8549.94043,18/11/2019,12.46000004,
19/11/2019,21,19/11/2019,8570.660156,19/11/2019,12.85999966,
20/11/2019,21,20/11/2019,8526.730469,20/11/2019,12.77999973,
21/11/2019,25,21/11/2019,8506.209961,21/11/2019,13.13000011,
22/11/2019,24,22/11/2019,8519.879883,22/11/2019,12.34000015,
24/11/2019,23,,,,,
25/11/2019,21,25/11/2019,8632.490234,25/11/2019,11.86999989,
26/11/2019,21,26/11/2019,8647.929688,26/11/2019,11.53999996,
27/11/2019,21,27/11/2019,8705.179688,27/11/2019,11.75,
28/11/2019,22,,,,,
29/11/2019,22,29/11/2019,8665.469727,29/11/2019,12.61999989,
01/12/2019,23,,,,,
02/12/2019,26,02/12/2019,8567.990234,02/12/2019,14.90999985,
03/12/2019,29,03/12/2019,8520.639648,03/12/2019,15.96000004,
04/12/2019,30,04/12/2019,8566.669922,04/12/2019,14.80000019,
05/12/2019,29,05/12/2019,8570.700195,05/12/2019,14.52000046,
06/12/2019,25,06/12/2019,8656.530273,06/12/2019,13.61999989,
08/12/2019,25,,,,,
